DateID,Date,Year,Month,Day,Month-Year,Day-Month-Year,ChicagoFiscalYear,IllinoisFiscalYear,Federal Holiday,DayOfWeek,Weekend,MinTemp(F),MaxTemp(F),New Snow,Snow Depth,Precipitation
198,7/16/2012,2012,7,16,07_2012,16_07_2012,2012,2013,,Monday,weekday,72,97,0,0,0
199,7/17/2012,2012,7,17,07_2012,17_07_2012,2012,2013,,Tuesday,weekday,79,99,0,0,0
200,7/18/2012,2012,7,18,07_2012,18_07_2012,2012,2013,,Wednesday,weekday,72,94,0,0,0.85
201,7/19/2012,2012,7,19,07_2012,19_07_2012,2012,2013,,Thursday,weekday,71,83,0,0,0.8
202,7/20/2012,2012,7,20,07_2012,20_07_2012,2012,2013,,Friday,weekday,68,81,0,0,0
203,7/21/2012,2012,7,21,07_2012,21_07_2012,2012,2013,,Saturday,weekend,65,87,0,0,0
204,7/22/2012,2012,7,22,07_2012,22_07_2012,2012,2013,,Sunday,weekend,68,89,0,0,0.001
205,7/23/2012,2012,7,23,07_2012,23_07_2012,2012,2013,,Monday,weekday,81,97,0,0,0.001
206,7/24/2012,2012,7,24,07_2012,24_07_2012,2012,2013,,Tuesday,weekday,69,84,0,0,0.54
207,7/25/2012,2012,7,25,07_2012,25_07_2012,2012,2013,,Wednesday,weekday,70,99,0,0,0.01
208,7/26/2012,2012,7,26,07_2012,26_07_2012,2012,2013,,Thursday,weekday,69,89,0,0,0.71
209,7/27/2012,2012,7,27,07_2012,27_07_2012,2012,2013,,Friday,weekday,66,86,0,0,0.03
210,7/28/2012,2012,7,28,07_2012,28_07_2012,2012,2013,,Saturday,weekend,67,82,0,0,0
211,7/29/2012,2012,7,29,07_2012,29_07_2012,2012,2013,,Sunday,weekend,63,85,0,0,0.001
212,7/30/2012,2012,7,30,07_2012,30_07_2012,2012,2013,,Monday,weekday,69,92,0,0,0
213,7/31/2012,2012,7,31,07_2012,31_07_2012,2012,2013,,Tuesday,weekday,68,85,0,0,0.16
214,8/1/2012,2012,8,1,08_2012,01_08_2012,2012,2013,,Wednesday,weekday,68,90,0,0,0
215,8/2/2012,2012,8,2,08_2012,02_08_2012,2012,2013,,Thursday,weekday,66,93,0,0,0
216,8/3/2012,2012,8,3,08_2012,03_08_2012,2012,2013,,Friday,weekday,71,95,0,0,0
217,8/4/2012,2012,8,4,08_2012,04_08_2012,2012,2013,,Saturday,weekend,71,93,0,0,0.37
218,8/5/2012,2012,8,5,08_2012,05_08_2012,2012,2013,,Sunday,weekend,66,84,0,0,0
219,8/6/2012,2012,8,6,08_2012,06_08_2012,2012,2013,,Monday,weekday,62,85,0,0,0
220,8/7/2012,2012,8,7,08_2012,07_08_2012,2012,2013,,Tuesday,weekday,62,92,0,0,0
221,8/8/2012,2012,8,8,08_2012,08_08_2012,2012,2013,,Wednesday,weekday,72,84,0,0,0.001
222,8/9/2012,2012,8,9,08_2012,09_08_2012,2012,2013,,Thursday,weekday,63,75,0,0,0.05
223,8/10/2012,2012,8,10,08_2012,10_08_2012,2012,2013,,Friday,weekday,61,76,0,0,0.18
224,8/11/2012,2012,8,11,08_2012,11_08_2012,2012,2013,,Saturday,weekend,56,78,0,0,0
225,8/12/2012,2012,8,12,08_2012,12_08_2012,2012,2013,,Sunday,weekend,55,76,0,0,0.001
226,8/13/2012,2012,8,13,08_2012,13_08_2012,2012,2013,,Monday,weekday,60,69,0,0,0.4
227,8/14/2012,2012,8,14,08_2012,14_08_2012,2012,2013,,Tuesday,weekday,56,84,0,0,0.001
228,8/15/2012,2012,8,15,08_2012,15_08_2012,2012,2013,,Wednesday,weekday,65,85,0,0,0.001
229,8/16/2012,2012,8,16,08_2012,16_08_2012,2012,2013,,Thursday,weekday,62,76,0,0,0.39
230,8/17/2012,2012,8,17,08_2012,17_08_2012,2012,2013,,Friday,weekday,58,76,0,0,0
231,8/18/2012,2012,8,18,08_2012,18_08_2012,2012,2013,,Saturday,weekend,53,77,0,0,0
232,8/19/2012,2012,8,19,08_2012,19_08_2012,2012,2013,,Sunday,weekend,60,79,0,0,0
233,8/20/2012,2012,8,20,08_2012,20_08_2012,2012,2013,,Monday,weekday,58,74,0,0,0.08
234,8/21/2012,2012,8,21,08_2012,21_08_2012,2012,2013,,Tuesday,weekday,53,79,0,0,0
235,8/22/2012,2012,8,22,08_2012,22_08_2012,2012,2013,,Wednesday,weekday,54,85,0,0,0
236,8/23/2012,2012,8,23,08_2012,23_08_2012,2012,2013,,Thursday,weekday,64,92,0,0,0.03
237,8/24/2012,2012,8,24,08_2012,24_08_2012,2012,2013,,Friday,weekday,64,94,0,0,0
238,8/25/2012,2012,8,25,08_2012,25_08_2012,2012,2013,,Saturday,weekend,66,93,0,0,0
239,8/26/2012,2012,8,26,08_2012,26_08_2012,2012,2013,,Sunday,weekend,66,79,0,0,0.57
240,8/27/2012,2012,8,27,08_2012,27_08_2012,2012,2013,,Monday,weekday,66,88,0,0,0
241,8/28/2012,2012,8,28,08_2012,28_08_2012,2012,2013,,Tuesday,weekday,63,86,0,0,0
